epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,208.221,1.12146,0.49313,0.00432,0.92869,0.77536,0.8739,0.51401,1.46993,0.6551,0.00488,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,215.015,1.14056,0.54388,0.00419,0.93924,0.80435,0.86734,0.51986,1.47105,0.65963,0.00497,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,221.754,1.20321,0.54733,0.004,0.96121,0.7971,0.87303,0.48058,1.4776,0.6694,0.00485,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,228.908,1.13483,0.48259,0.00408,0.9514,0.78986,0.87691,0.50827,1.44124,0.64999,0.00467,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,235.877,1.11902,0.52037,0.00387,0.91493,0.7971,0.87433,0.51052,1.47766,0.67255,0.00481,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,242.869,1.1011,0.50637,0.00389,0.93638,0.80435,0.87375,0.50412,1.50832,0.64812,0.00492,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,249.527,1.10383,0.50196,0.00382,0.97336,0.79423,0.90405,0.517,1.45477,0.62317,0.00478,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,256.199,1.12015,0.51338,0.00393,0.95049,0.80435,0.88745,0.52218,1.4582,0.63832,0.00458,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,262.854,1.16155,0.49586,0.00393,0.97395,0.81272,0.89483,0.5368,1.44807,0.59679,0.00454,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,269.475,1.14332,0.51703,0.00415,0.94177,0.82034,0.89827,0.54482,1.40441,0.61442,0.00446,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,276.176,1.05628,0.47246,0.0039,0.94039,0.83333,0.90037,0.54428,1.42662,0.60245,0.00457,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,283.31,1.07261,0.44885,0.00419,0.91315,0.80435,0.87745,0.50184,1.47191,0.66904,0.00461,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,290.302,1.02987,0.42422,0.00394,0.94093,0.77536,0.85567,0.50065,1.47741,0.70156,0.00459,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,297.111,1.03993,0.40663,0.00427,0.92577,0.81336,0.88,0.51406,1.48797,0.65245,0.00466,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,303.765,1.034,0.4044,0.00408,0.9568,0.80243,0.88128,0.52304,1.45313,0.64796,0.00453,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,310.454,1.04742,0.43792,0.00429,0.95027,0.76087,0.87274,0.53309,1.43991,0.65676,0.00448,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,317.284,1.03897,0.41861,0.00421,0.96341,0.76312,0.8763,0.51943,1.46315,0.65389,0.00456,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,324.261,1.02096,0.42142,0.00397,0.89673,0.81801,0.89185,0.5216,1.44518,0.66725,0.00445,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,331.004,0.99633,0.41785,0.0039,0.90427,0.81159,0.88634,0.53133,1.42726,0.65972,0.0044,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,337.943,1.00634,0.40021,0.00395,0.89644,0.81548,0.88056,0.52409,1.43216,0.66572,0.00439,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,344.814,1.01493,0.37124,0.00396,0.93111,0.7971,0.89381,0.51967,1.42773,0.66945,0.00441,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
